outcome,variable,category,alspac_included,alspac_not_included,bib_included,bib_not_included,chop_included,chop_not_included,dnbc_included,dnbc_not_included,eden_included,eden_not_included,genr_included,genr_not_included,inma_included,inma_not_included,moba_included,moba_not_included,ninfea_included,ninfea_not_included,raine_included,raine_not_included,rhea_included,rhea_not_included
int_raw_,sex,1,5265 (51.5),7706 (51.2),1212 (50.1),7153 (51.6),330 (47.1),850 (50.7),30225 (50.9),49644 (51.3),743 (52.1),1000 (52.5),3333 (50.2),4938 (50.7),667 (50),1099 (51.5),37773 (51.2),45685 (51.1),NA,NA,1189 (51.3),1454 (50.7),445 (53),731 (50.1)
int_raw_,sex,2,4963 (48.5),7355 (48.8),1209 (49.9),6704 (48.4),370 (52.9),828 (49.3),29205 (49.1),47181 (48.7),683 (47.9),903 (47.5),3311 (49.8),4808 (49.3),668 (50),1037 (48.5),36048 (48.8),43627 (48.9),NA,NA,1128 (48.7),1414 (49.3),395 (47),727 (49.9)
int_raw_,edu_m,1,1458 (14.2),1609 (12.9),722 (29.8),2920 (27.6),215 (30.7),410 (24.5),31605 (53.2),42518 (50.4),840 (58.9),1021 (53.5),3321 (50),3713 (42.9),516 (38.6),710 (32.6),49800 (67.5),63033 (64.2),NA,NA,474 (20.5),515 (19.4),270 (32.1),382 (28.2)
int_raw_,edu_m,2,7062 (69),8348 (66.9),336 (13.9),1657 (15.7),358 (51.1),838 (50.1),12788 (21.5),18564 (22),519 (36.4),745 (39),2809 (42.3),3980 (46),547 (41),891 (41),22584 (30.6),32320 (32.9),NA,NA,631 (27.2),694 (26.1),437 (52),683 (50.5)
int_raw_,edu_m,3,1708 (16.7),2526 (20.2),1363 (56.3),5986 (56.7),127 (18.1),423 (25.3),15037 (25.3),23234 (27.6),67 (4.7),144 (7.5),514 (7.7),968 (11.2),272 (20.4),575 (26.4),1437 (2),2780 (2.8),NA,NA,1212 (52.3),1448 (54.5),133 (15.8),288 (21.3)
int_raw_,ethn3_m,1,9959 (98.6),12065 (98),717 (29.6),4837 (42.2),0 (NaN),0 (NaN),0 (NaN),0 (NaN),0 (NaN),0 (NaN),4275 (64.4),5040 (55.1),1309 (98.2),2080 (95.4),0 (NaN),0 (NaN),NA,NA,2078 (89.7),2473 (88.2),820 (99.6),1322 (99.3)
int_raw_,ethn3_m,2,144 (1.4),244 (2),1670 (69),6397 (55.8),0 (NaN),0 (NaN),0 (NaN),0 (NaN),0 (NaN),0 (NaN),1697 (25.6),3208 (35.1),24 (1.8),101 (4.6),0 (NaN),0 (NaN),NA,NA,239 (10.3),331 (11.8),3 (0.4),9 (0.7)
int_raw_,ethn3_m,3,0 (0),0 (0),34 (1.4),228 (2),0 (NaN),0 (NaN),0 (NaN),0 (NaN),0 (NaN),0 (NaN),666 (10),903 (9.9),0 (0),0 (0),0 (NaN),0 (NaN),NA,NA,0 (0),0 (0),0 (0),0 (0)
int_raw_,eusilc_income,,"7.1 (6.9,7.2)","7.1 (6.9,7.2)","6.9 (6.7,7.1)","6.9 (6.7,7.1)","NA (NA,NA)","NA (NA,NA)","NA (NA,NA)","NA (NA,NA)","NA (NA,NA)","NA (NA,NA)","7.4 (7.3,7.6)","7.4 (7.3,7.6)","NA (NA,NA)","NA (NA,NA)","8.1 (8,8.1)","8.1 (8,8.1)",NA,NA,"NA (NA,NA)","NA (NA,NA)","6.9 (6.6,7.2)","6.8 (6.6,7.1)"
ext_raw_,sex,1,5256 (51.4),7706 (51.2),1212 (50.1),7153 (51.6),330 (47.1),850 (50.7),29062 (50.9),49644 (51.3),742 (52.1),1000 (52.5),3364 (50.2),4938 (50.7),667 (50),1099 (51.5),37905 (51.2),45685 (51.1),NA,NA,1191 (51.4),1454 (50.7),445 (53),731 (50.1)
ext_raw_,sex,2,4961 (48.6),7355 (48.8),1209 (49.9),6704 (48.4),370 (52.9),828 (49.3),27991 (49.1),47181 (48.7),683 (47.9),903 (47.5),3330 (49.8),4808 (49.3),668 (50),1037 (48.5),36169 (48.8),43627 (48.9),NA,NA,1127 (48.6),1414 (49.3),395 (47),727 (49.9)
ext_raw_,edu_m,1,1460 (14.3),1609 (12.9),722 (29.8),2920 (27.6),215 (30.7),410 (24.5),30273 (53.1),42518 (50.4),840 (59),1021 (53.5),3325 (49.7),3713 (42.9),516 (38.6),710 (32.6),49964 (67.4),63033 (64.2),NA,NA,474 (20.4),515 (19.4),270 (32.1),382 (28.2)
ext_raw_,edu_m,2,7066 (69.2),8348 (66.9),336 (13.9),1657 (15.7),358 (51.1),838 (50.1),12305 (21.6),18564 (22),519 (36.4),745 (39),2841 (42.4),3980 (46),547 (41),891 (41),22672 (30.6),32320 (32.9),NA,NA,629 (27.1),694 (26.1),437 (52),683 (50.5)
ext_raw_,edu_m,3,1691 (16.6),2526 (20.2),1363 (56.3),5986 (56.7),127 (18.1),423 (25.3),14475 (25.4),23234 (27.6),66 (4.6),144 (7.5),528 (7.9),968 (11.2),272 (20.4),575 (26.4),1438 (1.9),2780 (2.8),NA,NA,1215 (52.4),1448 (54.5),133 (15.8),288 (21.3)
ext_raw_,ethn3_m,1,9948 (98.6),12065 (98),717 (29.6),4837 (42.2),0 (NaN),0 (NaN),0 (NaN),0 (NaN),0 (NaN),0 (NaN),4279 (64),5040 (55.1),1309 (98.2),2080 (95.4),0 (NaN),0 (NaN),NA,NA,2079 (89.7),2473 (88.2),820 (99.6),1322 (99.3)
ext_raw_,ethn3_m,2,145 (1.4),244 (2),1670 (69),6397 (55.8),0 (NaN),0 (NaN),0 (NaN),0 (NaN),0 (NaN),0 (NaN),1745 (26.1),3208 (35.1),24 (1.8),101 (4.6),0 (NaN),0 (NaN),NA,NA,239 (10.3),331 (11.8),3 (0.4),9 (0.7)
ext_raw_,ethn3_m,3,0 (0),0 (0),34 (1.4),228 (2),0 (NaN),0 (NaN),0 (NaN),0 (NaN),0 (NaN),0 (NaN),664 (9.9),903 (9.9),0 (0),0 (0),0 (NaN),0 (NaN),NA,NA,0 (0),0 (0),0 (0),0 (0)
