Cohort,Domain,Measure,Time point
MoBa,Motor,Ages & stages questionnaire,0-1
MoBa,Motor,Ages & stages questionnaire,1-2
MoBa,Motor,Ages & stages questionnaire,3-4
MoBa,Motor,Ages & stages questionnaire,5-6
RAINE,Motor,Ages & stages questionnaire,0-1
RAINE,Motor,Ages & stages questionnaire,1-2
RAINE,Motor,Ages & stages questionnaire,3-4
EDEN,Motor,Ages & stages questionnaire,3-4
EDEN,Motor,Ages & stages questionnaire,4-5
RAINE,Motor,Bayley scales of infant development,0-1
RAINE,Motor,Bayley scales of infant development,1-2
EDEN,Motor,Brunet-Lezine psychometric scale ,1-2
EDEN,Motor,Brunet-Lezine psychometric scale ,2-3
ELFE,Motor,Child Development Inventory,1-2
ELFE,Motor,Child Development Inventory,3-4
ELFE,Motor,Child Development Inventory,5-6
RAINE,Motor,STYCAR,0-1
RAINE,Motor,STYCAR,1-2
ALSPAC,Motor,Denver,0-1
ALSPAC,Motor,Denver,1-2
ALSPAC,Motor,Denver,2-3
ALSPAC,Motor,Denver,4-5
ALSPAC,Motor,Denver,5-6
ALSPAC,Motor,Denver,6-7
RAINE,Motor,Denver,0-1
RAINE,Motor,Denver,1-2
RAINE,Motor,Denver,2-3
INMA,Motor,Finger tapping,7-8
INMA,Motor,Finger tapping,9-10
INMA,Motor,Finger tapping,10-1
RAINE,Motor,Gessell,0-1
RAINE,Motor,Gessell,1-2
RAINE,Motor,Griffiths,0-1
RAINE,Motor,Griffiths,1-2
NFBC1986,Motor,Unnamed,1-2
NFBC1986,Motor,Unnamed,7-8
NFBC1986,Motor,Unnamed,14-16
NFBC1966,Motor,Unnamed,0-1
NFBC1966,Motor,Unnamed,1-2
NFBC1966,Motor,Unnamed,2-3
NFBC1966,Motor,Unnamed,3-4
NFBC1966,Motor,Unnamed,4-5
GEN-R,Motor,Touwen,0-1
GEN-R,Motor,Touwen,1-2
RAINE,Motor,Woodside,0-1
RAINE,Motor,Woodside,1-2
RAINE,Internalising,BDI,12-14
RAINE,Internalising,BDI,14-16
GEN-R,Internalising,CBCL,1-2
GEN-R,Internalising,CBCL,3-4
GEN-R,Internalising,CBCL,5-6
GEN-R,Internalising,CBCL,9-10
GEN-R,Externalising,CBCL,1-2
GEN-R,Externalising,CBCL,3-4
GEN-R,Externalising,CBCL,5-6
GEN-R,Externalising,CBCL,9-10
INMA,Internalising,CBCL,7-8
INMA,Internalising,CBCL,8-9
INMA,Internalising,CBCL,9-10
INMA,Externalising,CBCL,7-8
INMA,Externalising,CBCL,8-9
INMA,Externalising,CBCL,9-10
MoBa,Internalising,CBCL,1-2
MoBa,Internalising,CBCL,3-4
MoBa,Internalising,CBCL,5-6
MoBa,Externalising,CBCL,1-2
MoBa,Externalising,CBCL,3-4
MoBa,Externalising,CBCL,5-6
RAINE,Internalising,CBCL,4-5
RAINE,Internalising,CBCL,8-9
