"","x"
"1","int_raw_0"
"2","ext_raw_0"
"3","adhd_raw_0"
"4","asd_raw_0"
"5","int_age_0"
"6","ext_age_0"
"7","adhd_age_0"
"8","asd_age_0"
"9","int_instr_0"
"10","ext_instr_0"
"11","adhd_instr_0"
"12","asd_instr_0"
"13","int_eval_0"
"14","ext_eval_0"
"15","adhd_eval_0"
"16","asd_eval_0"
"17","int_pro_0"
"18","ext_pro_0"
"19","adhd_pro_0"
"20","asd_pro_0"
"21","int_avg_0"
"22","ext_avg_0"
"23","adhd_avg_0"
"24","asd_avg_0"
"25","int_perc_0"
"26","ext_perc_0"
"27","adhd_perc_0"
"28","asd_perc_0"
"29","int_raw_1"
"30","ext_raw_1"
"31","adhd_raw_1"
"32","asd_raw_1"
"33","int_age_1"
"34","ext_age_1"
"35","adhd_age_1"
"36","asd_age_1"
"37","int_instr_1"
"38","ext_instr_1"
"39","adhd_instr_1"
"40","asd_instr_1"
"41","int_eval_1"
"42","ext_eval_1"
"43","adhd_eval_1"
"44","asd_eval_1"
"45","int_pro_1"
"46","ext_pro_1"
"47","adhd_pro_1"
"48","asd_pro_1"
"49","int_avg_1"
"50","ext_avg_1"
"51","adhd_avg_1"
"52","asd_avg_1"
"53","int_perc_1"
"54","ext_perc_1"
"55","adhd_perc_1"
"56","asd_perc_1"
"57","int_raw_2"
"58","ext_raw_2"
"59","adhd_raw_2"
"60","asd_raw_2"
"61","int_age_2"
"62","ext_age_2"
"63","adhd_age_2"
"64","asd_age_2"
"65","int_instr_2"
"66","ext_instr_2"
"67","adhd_instr_2"
"68","asd_instr_2"
"69","int_eval_2"
"70","ext_eval_2"
"71","adhd_eval_2"
"72","asd_eval_2"
"73","int_pro_2"
"74","ext_pro_2"
"75","adhd_pro_2"
"76","asd_pro_2"
"77","int_avg_2"
"78","ext_avg_2"
"79","adhd_avg_2"
"80","asd_avg_2"
"81","int_perc_2"
"82","ext_perc_2"
"83","adhd_perc_2"
"84","asd_perc_2"
"85","int_raw_3"
"86","ext_raw_3"
"87","adhd_raw_3"
"88","asd_raw_3"
"89","int_age_3"
"90","ext_age_3"
"91","adhd_age_3"
"92","asd_age_3"
"93","int_instr_3"
"94","ext_instr_3"
"95","adhd_instr_3"
"96","asd_instr_3"
"97","int_eval_3"
"98","ext_eval_3"
"99","adhd_eval_3"
"100","asd_eval_3"
"101","int_pro_3"
"102","ext_pro_3"
