"","poly1","poly2","model","loglik_alspac","log_rank_alspac"
"1","ext_age_","ext_age_","ext_age_ext_age_,",-128572.239336572,5
"2","ext_age_","ext_age_","ext_age_ext_age_,",-128568.803918797,9
"3","ext_age_","ext_age_","ext_age_ext_age_,",-128566.989256482,15
"4","ext_age_","ext_age_","ext_age_ext_age_,",-128566.826949033,18
"5","ext_age_","ext_age_","ext_age_ext_age_,",-128567.117414196,14
"6","ext_age_","ext_age_","ext_age_ext_age_,",-128570.292012885,7
"7","ext_age_","ext_age_","ext_age_ext_age_,",-128578.497582726,4
"8","ext_age_","ext_age_","ext_age_ext_age_,",-128564.96927734,24
"9","ext_age_","ext_age_","ext_age_ext_age_,",-128565.589081497,22
"10","ext_age_","ext_age_","ext_age_ext_age_,",-128567.132405703,13
"11","ext_age_","ext_age_","ext_age_ext_age_,",-128569.675058786,8
"12","ext_age_","ext_age_","ext_age_ext_age_,",-128583.051326521,3
"13","ext_age_","ext_age_","ext_age_ext_age_,",-128591.481499278,2
"14","ext_age_","ext_age_","ext_age_ext_age_,",-128566.130857654,21
"15","ext_age_","ext_age_","ext_age_ext_age_,",-128566.856190805,17
"16","ext_age_","ext_age_","ext_age_ext_age_,",-128567.758995318,12
"17","ext_age_","ext_age_","ext_age_ext_age_,",-128567.862160634,11
"18","ext_age_","ext_age_","ext_age_ext_age_,",-128571.302967548,6
"19","ext_age_","ext_age_","ext_age_ext_age_,",-128566.692275441,19
"20","ext_age_","ext_age_","ext_age_ext_age_,",-128566.971725035,16
"21","ext_age_","ext_age_","ext_age_ext_age_,",-128563.915963139,27
"22","ext_age_","ext_age_","ext_age_ext_age_,",-128565.542750545,23
"23","ext_age_","ext_age_","ext_age_ext_age_,",-128566.504853806,20
"24","ext_age_","ext_age_","ext_age_ext_age_,",-128562.772860014,28
"25","ext_age_","ext_age_","ext_age_ext_age_,",-128564.363007674,26
"26","ext_age_","ext_age_","ext_age_ext_age_,",-128564.830455115,25
"27","ext_age_","ext_age_","ext_age_ext_age_,",-128568.610829714,10
"28","ext_age_","ext_age_","ext_age_ext_age_,",-128614.879560555,1
