"","model","loglik_alspac","log_rank_alspac"
"1","int_age_,int_age_m_2",-116807.965768118,3
"2","int_age_,int_age_m_1",-116808.826055268,7
"3","int_age_,int_age_m_0_5",-116809.267568791,13
"4","int_age_,int_age_log",-116809.704048991,19
"5","int_age_,int_age_0_5",-116810.127131244,23
"6","int_age_,int_age_2",-116811.256229201,26
"7","int_age_,int_age_3",-116811.866272425,27
"8","int_age_m_2,int_age_m_1",-116810.080953852,22
"9","int_age_m_2,int_age_m_0_5",-116809.430978376,16
"10","int_age_m_2,int_age_log",-116808.835598662,8
"11","int_age_m_2,int_age_0_5",-116808.336076915,4
"12","int_age_m_2,int_age_2",-116807.67141162,1
"13","int_age_m_2,int_age_3",-116807.90659734,2
"14","int_age_m_1,int_age_m_0_5",-116809.434349414,17
"15","int_age_m_1,int_age_log",-116809.205739022,12
"16","int_age_m_1,int_age_0_5",-116808.997696516,9
"17","int_age_m_1,int_age_2",-116808.629556737,6
"18","int_age_m_1,int_age_3",-116808.625261824,5
"19","int_age_m_0_5,int_age_log",-116809.365906609,15
"20","int_age_m_0_5,int_age_0_5",-116809.316817563,14
"21","int_age_m_0_5,int_age_2",-116809.192891381,11
"22","int_age_m_0_5,int_age_3",-116809.165874795,10
"23","int_age_log,int_age_0_5",-116809.615648068,18
"24","int_age_log,int_age_2",-116809.819146981,20
"25","int_age_log,int_age_3",-116809.875856957,21
"26","int_age_0_5,int_age_2",-116810.509069228,24
"27","int_age_0_5,int_age_3",-116810.777034506,25
"28","int_age_2,int_age_3",-116814.463776351,28
