"","model","loglik_alspac","log_rank_alspac"
"1","ext_age_,ext_age_m_2",-128666.167624196,23
"2","ext_age_,ext_age_m_1",-128661.503058841,18
"3","ext_age_,ext_age_m_0_5",-128659.71518124,13
"4","ext_age_,ext_age_log",-128658.613422795,6
"5","ext_age_,ext_age_0_5",-128658.418240217,4
"6","ext_age_,ext_age_2",-128664.115834632,21
"7","ext_age_,ext_age_3",-128672.065035221,25
"8","ext_age_m_2,ext_age_m_1",-128656.896291753,1
"9","ext_age_m_2,ext_age_m_0_5",-128657.765511636,2
"10","ext_age_m_2,ext_age_log",-128659.566921616,12
"11","ext_age_m_2,ext_age_0_5",-128662.37294764,19
"12","ext_age_m_2,ext_age_2",-128676.185036374,26
"13","ext_age_m_2,ext_age_3",-128687.910854394,27
"14","ext_age_m_1,ext_age_m_0_5",-128658.346965889,3
"15","ext_age_m_1,ext_age_log",-128659.202948889,10
"16","ext_age_m_1,ext_age_0_5",-128660.261343934,15
"17","ext_age_m_1,ext_age_2",-128664.361945557,22
"18","ext_age_m_1,ext_age_3",-128667.333055428,24
"19","ext_age_m_0_5,ext_age_log",-128659.018515145,9
"20","ext_age_m_0_5,ext_age_0_5",-128659.36947555,11
"21","ext_age_m_0_5,ext_age_2",-128660.340577174,16
"22","ext_age_m_0_5,ext_age_3",-128660.814067476,17
"23","ext_age_log,ext_age_0_5",-128658.709142983,7
"24","ext_age_log,ext_age_2",-128658.589602034,5
"25","ext_age_log,ext_age_3",-128658.784940438,8
"26","ext_age_0_5,ext_age_2",-128659.740153491,14
"27","ext_age_0_5,ext_age_3",-128662.38948469,20
"28","ext_age_2,ext_age_3",-128707.163886059,28
